Name,id,Status,Source,Last Updated,Address,Zip Code,Phone,Email,Website/Social Media,Neighborhood,Category,Pod,Latitude,Longitude,Special Accommodation Hours,SNAP/EBT,WIC,Pickup Offered,Delivery Offered,Delivery/Pickup Notes,Notes,Donate,Created time,Sub-Category,Hours,Hours - Obsolete,Admin Notes
4 Season Paint Store ,1,Open,,5/1/2020,1077 Manhattan Ave. Brooklyn NY ,11222,(718) 784-5103,4seasonpaintstore@gmail.com,https://www.facebook.com/4seasonpaint/,Greenpoint,Hardware Store,1,40.735448,-73.955433,None,,,Yes (Call ahead),Yes (Call for delivery),,,,4/29/2020 12:34am,,Mon-Sat: 8am-4pm / Sunday: Closed,Mon-Sat 8am-4pm Closed Sunday,
21 Greenpoint,2,Open,,5/3/2020,"21 Greenpoint Ave., Brooklyn, NY 11222",11222,(718) 383-8833,info@21greenpoint.com,https://www.instagram.com/21greenpoint/,Greenpoint,Bar,4,40.729892,-73.959945,,,,,Yes,"Free wine delivery in Gp & Wburg - email info@21greenpoint.com for wine list.
Orders placed by 5pm will be delivered that day.",,https://www.gofundme.com/f/21-greenpoint-staff,4/29/2020 1:01am,American,,,
Acapulco Deli & Restaurant,3,Open,,5/2/2020,"1116 Manhattan Ave, Brooklyn, NY 11222",11222,(718) 349-8429,info@acapulcodeliandrestaurant.com,http://www.acapulcodeliandrestaurant.com/,Greenpoint,Restaurant,1,40.736710,-73.955092,,,,Yes,Yes,Please call for all delivery and pickup orders,,X,4/29/2020 1:01am,Mexican,Mon-Fri: 7am-10pm / Sat: 9am-10pm / Sun: 9am-10pm,,
Achilles Heel,4,Open,,5/3/2020,180 West St.,11222,(347) 987-3666,,https://www.instagram.com/achillesheelbk/,Greenpoint,Bar,2,40.733178,-73.959613,,,,Yes,,"Popping up on select days, check IG. Burritos, wine and beer Friday 5/8, pre-order on their site.",Staff fundraiser for Marlow Collective: https://shop.dinernyc.com/store/c49/Staff_Fundraiser.html,https://www.gofundme.com/f/staff-of-achilles-heel-relief-support,4/29/2020 1:01am,American,,,
Acme Smoked Fish,5,Open,,5/3/2020,"30 Gem St. Brooklyn, NY 11222",11222,(718) 383-8585,,https://www.instagram.com/acmesmokedfish/,Greenpoint,Restaurant,7,40.725038,-73.956246,,,,Yes,No,Ordering opens at noon on Tuesdays for pick-up on Friday ONLY. Curbside pick-up only. No walk-ins. Orders must be placed by 10AM on Fridays. Pickup times available between 8AM – 2PM Friday.  https://acmesmokedfish.smartonlineorder.com/,No walk-ins.,X,4/29/2020 1:01am,"Seafood Wholesaler,Jewish",Fri,"Friday pick-up, no walk-ins.",
Adelina's ,6,Closed,,5/3/2020,159 Greenpoint Ave.,11222,(347) 763-0152,INFO@ADELINASBK.COM,https://www.instagram.com/adelinas_wine,Greenpoint,Restaurant,6,40.730446,-73.953390,,,,No,No,,,https://www.gofundme.com/f/adelina039s-staff-donation,4/29/2020 1:01am,Italian,,,
Alameda ,7,Closed,,5/3/2020,195 Franklin St.,11222,(347) 227-7296,,https://www.instagram.com/alamedagreenpoint/,Greenpoint,Bar,2,40.733515,-73.958431,,,,,,,,https://www.gofundme.com/f/alameda-staff-support,4/29/2020 1:01am,American,,,
All Fresh Supermarket,8,Follow-up,,,"46 Harrison Avenue, Brooklyn, NY 11211",11211,(718) 302-1818,,,South Williamsburg,Grocery Store,33,40.705532,-73.953463,,,,,,,,,4/29/2020 12:34am,,,,
All in 1 Petshop,9,Open,,4/21/2020,"846 Manhattan Avenue, Brooklyn, NY 11222",11222,(347) 763-2228,None,https://allin1petshop.com/,Greenpoint,Pet Supplies,6,40.728970,-73.953501,,,,,,,https://www.instagram.com/allin1petshop/,,4/29/2020 12:34am,,"Mon, Weds, Fri, Sat: 12pm-6pm",sat mon wed fri 12-6,
Altru Chemists Pharmacy,10,Open,,,"987 Manhattan Ave, Brooklyn, NY 11222",11222,(718) 349-9009,,,Greenpoint,Pharmacy,2,40.732751,-73.954991,,,,Yes,Yes,Free delivery including OTC medicines.,"Pharmacy open 10-7  m-f , 10-2 sat, closed sun.
Free delivery even otc
sd (social distancing) = yes",,4/29/2020 12:34am,,Mon-Fri: 10am-7pm / Sat: 10am-2pm / Sun: Closed ,"Pharmacy open 10-7  m-f , 10-2 sat, closed sun.",
Alula,11,Open,,5/3/2020,252 Franklin St. ,11222,(718) 316-6161,,https://www.instagram.com/cafealula/?hl=en,Greenpoint,Restaurant,2,40.734612,-73.958142,,,,Yes,Yes,For anything larger than a coffee/croissant/bread pickup it’s best to order pickup over the phone or from Chow Now. https://direct.chownow.com/order/13709/locations/19219,Closed some days so check Instagram,venmo @alula_staff ,4/29/2020 1:01am,Cafe,Daily: 8:30am-6pm,"8:30am-6pm, closed some days so check IG.",
Amami,12,Open,,5/2/2020,57 Nassau Ave.,11222,(917) 909-1568,amamibk@gmail.com,https://www.instagram.com/amami_bk/,Greenpoint,Restaurant,12,40.723545,-73.952195,,,,Yes,Yes,Call and place your take out orders or deliveries at 917.909.1568. Menu online. https://amamibk.com,"Booze, and daily specials. ",X,4/29/2020 1:01am,Japanese,Daily: 12pm-10:30pm,,
Anella ,13,Open,,5/3/2020,222 Franklin St.,11222,(718) 389-8100,,https://www.instagram.com/anellabk/,Greenpoint,Restaurant,2,40.733263,-73.957918,,,,Yes,No,Order on their website for pickup only. Orders placed after 7pm will be ready the following day. http://www.anellabrooklyn.com/orderonline,"Buy merch or ""leave a tip"" (on their online store) to benefit staff.",http://www.anellabrooklyn.com/new-products,4/29/2020 1:01am,"American,Italian",,,
Animal Planet,14,Open,,4/21/2020,"1084 Manhattan Avenue # 1, Brooklyn, NY 11222",11222,(718) 349-0602,None,https://animal-planet-pet-supplies.business.site/,Greenpoint,Pet Supplies,2,40.735642,-73.954846,,,,Yes,Yes,,Hours not accurate on website. New hours 11-7.,,4/29/2020 12:34am,,Daily: 11am-7pm,Daily: 11am-7pm,
Antica Pesa,15,Open,Location,5/2/2020,"115 Berry St, Brooklyn, NY 11249",11249,(347) 763-2635,None,anticapesa.com,North Williamsburg,Restaurant,14,40.718512,-73.958319,,,,Yes,Yes,Our Take-out and Delivery Menu is available every Tuesday-Sunday for deliveries via Caviar and Grubhub or for pick-ups via phone!,"We are also accepting pre-orders for Mother's Day pick-ups. For the holiday, we will be open from 1pm-8pm.",,5/1/2020 9:19pm,Italian,Tues-Thurs: 4pm-10pm / Fri-Sat: 4pm-11pm / Sun: 4pm-10pm,Tues-Sun,
Antidote Apothecary,16,Open,,,200 Franklin St.,11222,(929) 276-3905,,https://www.instagram.com/antidote_apothecary_teabar/,Greenpoint,Restaurant,4,40.732252,-73.957683,,,,Yes,No,"Call Elizabeth or email elizabeth@antidotebrooklyn.com. Call ahead for pick-up herbs, antidote products, outside products, teas, CBD, mushrooms, elderberry syrup, drinks, crystals, candles. Elizabeth can make you a special tea or tincture blend.",Pickup only. ,X,4/29/2020 1:01am,"Tea Bar,Cafe",Daily: 12pm-5pm,Pickup 12pm-5pm daily.,
Apollo Express Laundromat,17,Open,Greenpoint Strong Slack,4/25/2020,"1019 Manhattan Ave, Brooklyn, NY 11222",11222,(718) 389-1319,,,Greenpoint,Laundromat,2,40.733828,-73.955139,,,,,,,,,4/29/2020 12:34am,,Daily: 6am-Midnight,M - S 6:00 am to 12:00 am,
Apollo Laundromat,18,Open,Location,4/23/2020,"190 Franklin Street, Brooklyn, NY 11222",11222,(347) 689-4800,,https://www.apollolaundromat.com/,Greenpoint,Laundromat,4,40.731684,-73.957651,,,,,,,,,4/29/2020 12:34am,,Mon-Fri: 7am-3pm / Sat-Sun: 7am-6pm,Mon-Fri 7am-3pm; Sat-Sun 7am-6pm,
Apteka Pharmacy,19,Open,,4/21/2020,"151 Nassau Avenue, Brooklyn, NY 11222",11222,(718) 349-8989,,,Greenpoint,Pharmacy,11,40.725050,-73.947299,,,,,,,,,4/29/2020 12:34am,,Daily: 10am-7pm,10am-7pm,
Archestratus,20,Open,,5/3/2020,160 Huron St.,11222,(718) 349-7711,,https://www.instagram.com/_archestratus_/,Greenpoint,Restaurant,2,40.732859,-73.955166,,,,Yes,No,"One Stop Shop grocery pickup every Saturday 1-730pm. Also shipping. Farm produce boxes offered for pickup, email paige@archestrat.us and order food/goods on this site - https://archestratus-books-foods.myshopify.com/ Books, gifts & pantry items available for local pick up Thurs thru Sat 12-5pm, Sunday 12-3pm.",,https://archestratus-books-foods.myshopify.com/collections/make-a-donation,4/29/2020 1:01am,"Cafe,Grocery Store,Italian","Sat: 1pm-7:30pm for Grocery Pickup / Thurs-Sat: 12pm-5pm and Sun: 12pm-3pm for Books, Gifts, and Pantry Items "," Books, gifts & pantry items available for local pick up Thurs thru Sat 12-5pm, Sunday 12-3pm.",
AS Warehouse,21,No Answer,,5/1/2020,"276 McGuinness Blvd, Brooklyn, NY 11222",11222,(347) 457-5923,,,Greenpoint,Grocery Store - Supermarket,5,40.731676,-73.951481,,,,,,,,,4/29/2020 12:34am,,,,
Ashbox Cafe,22,Closed,,5/3/2020,1154 Manhattan Ave.,11222,(718) 389-3222,,https://www.instagram.com/ashboxcafe/,Greenpoint,Restaurant,1,40.737768,-73.955186,,,,,,,,,4/29/2020 1:01am,"Japanese,Cafe",,,
Associated Supermarket,23,Open,,5/1/2020,"802 Manhattan Avenue, Brooklyn, NY 11222",11222,(718) 383-7756,,https://www.shopassociated.com/,Greenpoint,Grocery Store - Supermarket,6,40.728015,-73.952897,Mon-Fri: 8am-9am Senior Hours,,,No,No,,,,4/29/2020 12:34am,,Mon-Sat: 8am-7pm / Sun: 9am-4pm,"m-sat 8-7, sun 9-4",
Aurora Hardware and Locksmith,24,Open,,5/1/2020,136 Bedford Ave Brooklyn NY ,11211,(718) 387-3581,aurorahws@gmail.com,None,North Williamsburg,Hardware Store,15,40.719295,-73.956424,None ,,,No,No,,,,4/29/2020 12:34am,,Daily: 9am-5pm,9am-5pm Every Day,
Avon Pharmacy & Surgical,25,Open,,,"82 Graham Ave # A, Brooklyn, NY 11206",11206,(718) 384-0630,,,East Williamsburg,Pharmacy,22,40.703974,-73.942370,,,,Yes,Yes,,"10 - 6 sun closed
pu/delivery
sd yes",,4/29/2020 12:34am,,Mon-Sat: 10am-6pm / Sun: closed,"10 - 6 M-Sat, sun closed",
Azure Grocery,26,Open,,,"187 Montrose Ave, Brooklyn, NY 11206",11206,(718) 599-7887,,,East Williamsburg,Grocery Store,21,40.707689,-73.941708,,n,n,No,No,Delivery available for prepared food not for groceries.,Delivery available for prepared food not for groceries.,,5/1/2020 5:27pm,,Daily: 8am-8pm,,
B & G Hardware ,27,Open,,4/25/2020,210 Roebling Street Brooklyn NY ,11211,(718) 388-4214,bghardware292@aol.com,https://www.facebook.com/BandGHardware/,South Williamsburg,Hardware Store,27,40.712426,-73.959175,None ,,,No,No,,,,4/29/2020 12:34am,,Mon-Fri: 8am-8pm / Sat: 8am-6pm / Sun: Closed ,Mon-Fri: 8am-8pm Sat: 8am-6pm Sun: closed ,
B's Bikes,28,Open,Location,4/27/2020,"262 Driggs Avenue, Brooklyn, NY 11222",11222,(718) 349-1212,,https://www.instagram.com/bsbikes/?hl=en,Greenpoint,Bike Shops,12,40.722769,-73.948320,,,,,,,,,4/29/2020 12:34am,,Daily: 12pm-7pm,12pm-7pm daily,
Bagel Point,29,Open,Instagram,5/1/2020,"699 Manhattan Ave, Brooklyn, NY 11222",11222,(718) 383-1600,,bagelpoint.com,Greenpoint,Restaurant,7,40.725483,-73.952012,,,,Yes,Yes,Order online or curbside pickup,,,4/30/2020 6:25am,Bagel Shop,Daily: 7am-4pm,7am-4pm,
Bagelsmith,30,Open,,,566 Lorimer St.,11211,(347) 294-0046,,https://www.instagram.com/bagelsmith_nyc/,North Williamsburg,Restaurant,25,40.713875,-73.949188,,,,Yes,Yes,Order on their site. http://bagelsmith.com/,,X,4/29/2020 1:52am,Bagel Shop,Daily: 6am-5pm,6am-5pm,
Bake Shop,31,Closed,Phone/Yelp,5/1/2020,"1087 Flushing Ave, Brooklyn, NY ",11206,(718) 381-3706,,,East Williamsburg,Restaurant,23,40.705141,-73.928489,,,,,,,,,5/1/2020 4:29am,Bakery,,,
Baker's Dozen,32,Open,Location,5/1/2020,"788 Manhattan Ave, Brooklyn, NY 11222",11222,(718) 349-2222,,http://bakersdozengreenpoint.com/,Greenpoint,Restaurant,7,40.727579,-73.952740,,,,Yes,Yes,,,,4/30/2020 6:14am,Bagel Shop,Daily: 7am-3pm,7am-3pm,
Bakeri,33,Open,Instagram,5/3/2020,"105 Freeman Street, Brooklyn NY",11222,(718) 349-1542,,http://www.bakeribrooklyn.com,Greenpoint,Restaurant,2,40.734416,-73.957549,,,,Yes,No,Order online for Sunday pickup,Sunday pickup only. Other pop-up dates announced through Instagram.,,4/29/2020 12:34am,"Bakery,Cafe",Sunday: 12pm-3pm,,
Bakeri ,34,Open,Instagram,5/3/2020,"150 Wythe Ave, Brooklyn NY",11211,(718) 388-8037,,bakeribrooklyn.com,North Williamsburg,Restaurant,14,40.720022,-73.960103,,,,Yes,No,Take out on Sundays,,,5/1/2020 3:51am,"Bakery,Cafe",Sunday: 10am until sold out,,
Baoburg,35,Open,,5/2/2020,614 Manhattan Ave.,11222,(718) 349-0011,,https://www.instagram.com/baoburg/,Greenpoint,Restaurant,12,40.723474,-73.950392,,,,Yes,Yes,"Takeout and Delivery only, order on their site - http://www.baoburg.com/ or 15% discount for direct orders by phone. ","Survival Meals for $5 - 12pm-7pm, cash and pickup only. Check their IG Stories for more info on menu.",X,4/29/2020 1:01am,Chinese,Daily: 12pm-7pm,,
bar velo ,36,Closed,,,394 Broadway,11211,(718) 599-6895,,https://instagram.com/barvelobrooklyn?igshid=ynrp1be4zxd4,South Williamsburg,Bar,29,40.707075,-73.954438,,,,,,,,https://www.gofundme.com/f/s4ddu-help-our-staff-during-this-difficult-time,4/29/2020 1:01am,Restaurant,,,
Barano,37,Open,Location,5/5/2020,26 Broadway,11249,(347) 987-4500,,https://www.instagram.com/baranobk/,South Williamsburg,Restaurant,28,40.710488,-73.967919,,,,Yes,Yes,Will deliver to GP. Order on their site - https://www.baranobk.com/,Several items to make-at-home (Strip steak is $10),https://www.gofundme.com/f/barano-employee-fund,4/29/2020 1:52am,Italian,Tues-Sun: 2pm-8pm,Tues-Sun 2-8pm,
Barcade,38,Open,Employee,5/2/2020,388 Union Ave.,11211,(718) 302-6464,,https://www.instagram.com/barcade/,South Williamsburg,Bar,25,40.712046,-73.950969,,,,Yes,No,"To-go service available including wine, cocktails, and draft beer, 64 ounce growlers starting at $10. ",25% off future party bookings thru April 30 http://barcade.com/book-a-party/ (Delivery not yet avail. for BK location),https://www.gofundme.com/f/support-your-barcade-brooklyn-staff,4/29/2020 1:01am,,Daily: 12pm-7pm,12pm-7pm,
"Bell Drugs, Inc.",39,Follow-up,,,"138 Graham Ave, Brooklyn, NY 11206",11206,(718) 388-4307,,,East Williamsburg,Pharmacy,21,40.706229,-73.942794,,,,,,,Open. Follow up needed for pick up and delivery info.,,4/29/2020 12:34am,,Mon-Fri: 10am-4pm / Sat: 10am-2pm / Sun: Closed,10-4 m-f 10-2 sat sun closed,
Bernie's,40,Closed,,5/3/2020,332 Driggs Ave.,11222,(347) 529-6400,,https://www.instagram.com/berniesnyc/,Greenpoint,Restaurant,12,40.721927,-73.950597,,,,,,,,https://www.gofundme.com/f/bernie039s-amp-frankel039s-family-fund,4/29/2020 1:01am,American,,,
Berry Cleaners,41,Open,location,4/25/2020,"44 Berry St., Brooklyn, NY",11211,(718) 388-3843,,,North Williamsburg,Laundromat,13,40.721102,-73.956646,,,,Yes,Yes,,,,4/29/2020 12:34am,,Daily: 9am-5pm,M - S 9:00 am to 5:00 pm,
Best Pizza,42,Open,,5/2/2020,33 Havemeyer St.,11222,(718) 404-9053,,https://www.instagram.com/bestpizza33/,North Williamsburg,Restaurant,17,40.715588,-73.953446,,,,Yes,Yes,Delivery/pickup via Seamless.,"ANYONE out there that is in need of food, can’t afford groceries or have young children that need to eat come see us. We will provide the best we can no questions asked.. Any Hospitals that may need food for clinicians on the front lines DM or Call Best Pizza 718-599-2210",https://www.gofundme.com/f/best-pizza-staff-fund,4/29/2020 1:01am,Pizzeria,Sun-Thurs: 12pm-9pm / Fri: 12pm-11pm / Sat: 12pm-10pm,,
Best Value Hardware,43,Open,,5/1/2020,817 Manhattan Ave. Brooklyn NY ,11222,(718) 383-5609,,,Greenpoint,Hardware Store,6,40.728282,-73.953524,,,,,,,,,4/29/2020 12:34am,,Mon-Fri: 10am-5pm / Sat-Sun: Closed,Mon-Fri 10am-5pm Sat and Sunday Closed,
Bff Petwash,44,Open,,4/24/2020,"192 Driggs Ave., Brooklyn, NY 11222",11222,(718) 349-8705,Info@bffpetwash.com,https://www.bffpetwash.com/,Greenpoint,Pet Supplies,11,40.723052,-73.946039,,,,,,,"Groomer
Recently reopened as of 4/23
Payment by Venmo
Drop off dogs at door
Social Distancing",,4/29/2020 12:34am,,By Appointment Only,Appointment Only ,
Biedronka,45,,,,"854 Manhattan Avenue, Brooklyn, NY 11222",11222,(347) 457-6484,,,Greenpoint,Grocery Store,6,40.729185,-73.953530,,,,,,,,,4/29/2020 12:34am,,,,
Bike Ahead,46,Closed,Website (Covid-19 update),4/27/2020,"386 Broadway, Brooklyn, NY 11211",11211,(718) 289-0811,customerservice@bikeahead.com,https://bikeahead.com/,South Williamsburg,Bike Shops,29,40.707132,-73.954744,,,,,,,,,4/29/2020 12:34am,,,,
BikeWorks NYC,47,Open (Missing Info),Transportation Alternative Sheet,3/23/2020,"35 Broadway, Brooklyn, NY 11249",11249,(646) 812-2524,,http://bikecult.com/,South Williamsburg,Bike Shops,28,40.711021,-73.967285,,,,,,,,,4/29/2020 12:34am,,,,
Blue Bottle Coffee,48,Closed,,,76 N 4th St. Store A,11249,(510) 653-3394,,https://www.instagram.com/bluebottlecoffee,North Williamsburg,Restaurant,14,40.717287,-73.961642,,,,,,,Order coffee and merch online with free shipping. https://bluebottlecoffee.com/,X,4/29/2020 1:01am,Cafe,,,
Boreum Drugs,49,Open,,,"194 Union Ave, Brooklyn, NY 11211",11211,(718) 387-8288,,,South Williamsburg,Pharmacy,31,40.706287,-73.950049,,,,Yes,No,,Only one person allowed in at a time. Please call ahead.,,4/29/2020 12:34am,,Mon-Fri: 9:30am-5pm / Sat: 9:30am-3pm / Sun: Closed,"9:30 - 5 m-f , 9:30-3 sat, sun closed",
Bozu,50,Open,,5/3/2020,296 Grand Street,11211,(718) 384-7770,,https://www.instagram.com/bozubrooklyn/,South Williamsburg,Restaurant,26,40.712844,-73.957522,,,,,Yes,Devliery via Caviar & Doordash.,Delivery Only,https://www.gofundme.com/f/relief-fund-for-employees-of-bbf-group,4/29/2020 1:52am,Japanese,Daily: 4pm-10pm,Delivery 4pm-10pm,
Bread Brothers Bagel Cafe - Greenpoint,51,Closed,,5/2/2020,"912 Manhattan Ave, Brooklyn, NY 11222",11222,(718) 576-3837,,breadbrotherscafe.com,Greenpoint,Restaurant,4,40.730608,-73.954070,,,,,,,"Greenpoint location might reopen, Bushwick currently open for take away and delivery",,4/30/2020 5:50am,Bagel Shop,,,
Broken Land,52,Open,Location,5/2/2020,"105 Franklin St., Brooklyn, NY 11222",11222,(718) 349-2901,,https://www.instagram.com/brokenlandbar/,Greenpoint,Bar,6,40.729522,-73.957799,,,,Yes,No,,"Sidewalk window with to-go cocktails, wine, beer and food M-F 4-8, SAT/SUN 2-8. Also doing delivery M-F 3-7pm, Sa-Su 1pm-7pm. Menu on their site. Check IG for daily specials. All profits go to furloughed staff. ",X,4/29/2020 1:01am,Restaurant,Mon-Fri: 4pm-8pm/Sat-Sun 2pm-8pm,,
Brooklyn Bicycle Co,53,Open,Transportation Alternative Sheet,3/19/2020,"61 Greenpoint Avenue, Suite 410, Brooklyn, NY 11222",11222,(800) 631-0630,info@brooklynbicycleco.com,brooklynbicycleco.com,Greenpoint,Bike Shops,4,40.730026,-73.958373,,,,,,,,,4/29/2020 12:34am,,By Appointment Only,By appointment only,
