Location Name,Address,Prepared Meal / Pantry Food,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Phone Number,Website,Comments,Pod
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Greenpoint Reformed Church,"136 Milton Street, Brooklyn NY 11222
",Takeout Meal,,,Takeout Dinner 6-7pm,,,,(718) 383-5941,greenpointhungerprogram.org/,"Confirmed as of May 1 Takeout Dinner: No financial proof, no ID requiredFood Pantry: No financial proof required; bring ID for each family member ",6
North Brooklyn Angels,"862 Manhattan Avenue, Brooklyn NY 11222",Takeout Meal,Takeout Lunch 12:30-1:30pm,,,Takeout Lunch 1:15-2:15pm ,,,(646) 339-0148,https://www.northbrooklynangels.org/,Confirmed as of May 1 The truck is parked in front of the steps of the St Anthony of Padua-St. Alphonsus church at the intersection of Manhattan Avenue and Milton Street.,6
North Brooklyn Angels,"288 Frost Street, Brooklyn NY 11222",Takeout Meal,Takeout Lunch 1:15-2:15pm ,,,Takeout Lunch 12:30-1:30pm,,,,https://www.northbrooklynangels.org/,Confirmed as of May 1 The truck is parked in front of the Cooper Park Houses playground at the intersection of Jackson Street and Debevoise Avenue.,18
North Brooklyn Angels,"240 Division Avenue, Brooklyn NY 11211",Takeout Meal,,Takeout Lunch 12:30-1:30pm,,,,,,https://www.northbrooklynangels.org/,"Confirmed as of May 1 The truck is parked across the street from the Williamsburgh Library on the Division Avenue Overpass, between Marcy Ave & Rodney Street.",29
North Brooklyn Angels,"195 Maujer Street, Brooklyn NY 11206",Takeout Meal,,,Takeout Lunch 12:30-1:30pm,,,,,https://www.northbrooklynangels.org/,"Confirmed as of May 1 The truck is parked in front of St. John the Evangelist Lutheran Church, across the street from the Williamsburg Houses",20
North Brooklyn Angels,"157 Johnson Avenue, Brooklyn NY 11206",Takeout Meal,,,,,Takeout Lunch 12:30-1:30pm,,,https://www.northbrooklynangels.org/,Confirmed as of May 1 The truck is parked on Johnson Ave outside the Most Holy Trinity parking lot.,31
North Brooklyn Angels,"1 Havemeyer Avenue, Brooklyn NY 11211",Takeout Meal,,,,,Takeout Lunch 12:30-1:30,,,https://www.northbrooklynangels.org/,Confirmed as of May 1 Meal is served from our community kitchen,16
Act of Faith Ministries,"141 Manhattan Avenue, Brooklyn NY 11206",Pantry Food,,,,Food Pantry 12-1pm,,,(516) 852-5934,,Have not confirmed,30
Food for Bklyn: Community Food Pantry,"55 Sutton Street, Brooklyn, NY 11222",Pantry Food,,,,,,Food Pantry 9-12pm,,https://www.gofundme.com/f/food-for-brooklyn?sharetype=teams&member=4354148&utm_medium=copy_link&utm_source=customer&utm_campaign=p_na%20share-sheet&rcid=c3353870165a43efa9271077d5939b82&fbclid=IwAR0Ajo0vhohfHwWMr6X7id8lq4jVjPkYjDIXchgK-oKoRnz7vg-EaR6LPkY,Confirmed as of May 13,9
Greenpoint Community Kitchen,"136 Milton Street, Brooklyn NY 11222",Pantry Food,,,,,,Food Pantry 11am-12pm,,https://www.instagram.com/greenpointcommunitykitchen/?hl=en,Food for anyone who needs it served to-go every Saturday. Confirmed as of May 1,6
